Total_reported,Date_of_publication,Date_of_measurement,Wave,Region_name,Subgroup_category,Subgroup,Indicator_category,Indicator,Figure_type,Value,Lower_limit,Upper_limit,Change_wrt_previous_measurement,Hospital_admission,Deceased
184,25/07/2020,,,,,,,,,,,,,3,1
9822,22/12/2020,,,,,,,,,,,,,83,113
129,26/05/2020,,,,,,,,,,,,,7,20
4543,20/02/2021,,,,,,,,,,,,,91,62
969,08/09/2020,,,,,,,,,,,,,6,1
4911,25/11/2020,,,,,,,,,,,,,74,74
6946,05/11/2020,,,,,,,,,,,,,99,87
1171,12/04/2020,,,,,,,,,,,,,194,96
1222,12/09/2020,,,,,,,,,,,,,6,1
3972,02/03/2021,,,,,,,,,,,,,53,64
5687,19/11/2020,,,,,,,,,,,,,95,75
503,29/08/2020,,,,,,,,,,,,,2,4
105,01/06/2020,,,,,,,,,,,,,8,5
507,22/08/2020,,,,,,,,,,,,,11,5
179,11/05/2020,,,,,,,,,,,,,29,7
8710,10/12/2020,,,,,,,,,,,,,72,63
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Werkt_thuis,Percentage,"67,4","65,6","69,2",-1,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Was_vaak_je_handen,Percentage,"33,8","32,4","35,2",1,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Vermijd_drukke_plekken,Percentage,"74,1","72,8","75,4",0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Thuisgewerkte_uren,Percentage,64,62,66,0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Ontvang_max_bezoekers_thuis,Percentage,"70,9","69,5","72,3",-1,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Houd_1_5m_afstand,Percentage,"64,7","64,1","65,2",-1,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Hoest_niest_in_elleboog,Percentage,"63,3","62,3","64,4",0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,Percentage,"81,8","80,6",83,0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_ov,Percentage,97,"94,7","98,3",0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Bij_klachten_laat_testen,Percentage,"43,6","39,5","47,8",1,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Bij_klachten_blijf_thuis,Percentage,46,"40,6","51,4",0,92,57
4288,09/03/2021,09/03/2021,9,Nederland,Alle,Totaal,Naleving,Avondklok,Percentage,"88,9","87,9","89,9",-1,92,57
4,03/03/2020,,,,,,,,,,,,,1,0
134,16/06/2020,,,,,,,,,,,,,2,4
3376,17/02/2021,,,,,,,,,,,,,77,89
3286,30/09/2020,,,,,,,,,,,,,45,13
507,30/04/2020,,,,,,,,,,,,,91,85
7611,03/04/2021,,,,,,,,,,,,,67,31
8149,18/10/2020,,,,,,,,,,,,,69,14
2536,24/09/2020,,,,,,,,,,,,,24,16
7668,09/04/2021,,,,,,,,,,,,,104,41
959,08/04/2020,,,,,,,,,,,,,313,157
4670,09/11/2020,,,,,,,,,,,,,54,38
416,25/08/2020,,,,,,,,,,,,,15,5
5318,06/03/2021,,,,,,,,,,,,,45,42
195,12/05/2020,,,,,,,,,,,,,41,56
6545,09/12/2020,,,,,,,,,,,,,76,66
9818,26/12/2020,,,,,,,,,,,,,71,49
605,06/08/2020,,,,,,,,,,,,,3,0
8265,02/11/2020,,,,,,,,,,,,,89,29
1088,13/09/2020,,,,,,,,,,,,,17,1
730,15/04/2020,,,,,,,,,,,,,208,202
80,24/06/2020,,,,,,,,,,,,,5,3
1167,27/03/2020,,,,,,,,,,,,,339,122
4885,24/01/2021,,,,,,,,,,,,,63,30
6499,14/01/2021,,,,,,,,,,,,,75,86
183,20/07/2020,,,,,,,,,,,,,2,0
5564,06/04/2021,,,,,,,,,,,,,104,20
2976,27/09/2020,,,,,,,,,,,,,36,8
7989,19/10/2020,,,,,,,,,,,,,82,17
388,29/04/2020,,,,,,,,,,,,,80,141
181,13/06/2020,,,,,,,,,,,,,11,6
347,18/03/2020,,,,,,,,,,,,,91,15
3555,02/02/2021,,,,,,,,,,,,,67,83
217,05/06/2020,,,,,,,,,,,,,10,15
720,02/09/2020,,,,,,,,,,,,,6,5
5101,26/02/2021,,,,,,,,,,,,,52,65
5418,15/11/2020,,,,,,,,,,,,,98,44
2902,28/09/2020,,,,,,,,,,,,,38,6
5339,05/04/2021,,,,,,,,,,,,,56,8
193,28/04/2020,,,,,,,,,,,,,90,47
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Werkt_thuis,Percentage,"70,9","69,2","72,5",,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Was_vaak_je_handen,Percentage,"36,2","34,7","37,6",0,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Vermijd_drukke_plekken,Percentage,"70,3","68,9","71,7",1,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Thuisgewerkte_uren,Percentage,"66,6","64,7","68,6",,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Ontvang_max_bezoekers_thuis,Percentage,96,"95,4","96,5",-1,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Houd_1_5m_afstand,Percentage,"64,8","64,2","65,3",1,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Hoest_niest_in_elleboog,Percentage,"61,8","60,8","62,9",,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,Percentage,"60,6","59,1","62,1",,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_ov,Percentage,,,,,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Bij_klachten_laat_testen,Percentage,42,"38,8","45,3",1,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Bij_klachten_blijf_thuis,Percentage,"40,7","36,7","44,8",0,90,46
8144,20/10/2020,20/10/2020,2,Nederland,Alle,Totaal,Naleving,Avondklok,Percentage,,,,,90,46
194,27/05/2020,,,,,,,,,,,,,10,19
4672,21/02/2021,,,,,,,,,,,,,42,17
795,07/09/2020,,,,,,,,,,,,,8,0
3947,24/11/2020,,,,,,,,,,,,,80,90
110,25/06/2020,,,,,,,,,,,,,4,3
5812,21/01/2021,,,,,,,,,,,,,87,91
874,30/03/2020,,,,,,,,,,,,,489,84
50,07/03/2020,,,,,,,,,,,,,7,1
4177,13/02/2021,,,,,,,,,,,,,62,67
90,20/06/2020,,,,,,,,,,,,,2,8
11166,16/12/2020,,,,,,,,,,,,,64,76
341,31/07/2020,,,,,,,,,,,,,8,0
5,02/03/2020,,,,,,,,,,,,,0,0
11497,25/12/2020,,,,,,,,,,,,,84,93
577,09/08/2020,,,,,,,,,,,,,9,0
637,21/03/2020,,,,,,,,,,,,,200,30
4176,30/01/2021,,,,,,,,,,,,,80,88
65,04/07/2020,,,,,,,,,,,,,1,7
7670,10/04/2021,,,,,,,,,,,,,56,23
1208,09/04/2020,,,,,,,,,,,,,250,143
2334,23/09/2020,,,,,,,,,,,,,32,5
5656,08/11/2020,,,,,,,,,,,,,94,43
5360,22/11/2020,,,,,,,,,,,,,66,21
1140,09/09/2020,,,,,,,,,,,,,9,2
4681,19/02/2021,,,,,,,,,,,,,72,50
178,29/05/2020,,,,,,,,,,,,,10,29
605,22/03/2020,,,,,,,,,,,,,161,44
76,03/07/2020,,,,,,,,,,,,,4,1
4402,29/01/2021,,,,,,,,,,,,,63,57
7094,07/12/2020,,,,,,,,,,,,,75,19
7610,20/03/2021,,,,,,,,,,,,,62,18
274,14/05/2020,,,,,,,,,,,,,29,30
620,11/08/2020,,,,,,,,,,,,,8,2
61,09/03/2020,,,,,,,,,,,,,5,1
4431,11/02/2021,,,,,,,,,,,,,73,74
68,22/06/2020,,,,,,,,,,,,,1,0
748,20/04/2020,,,,,,,,,,,,,79,59
4522,06/10/2020,,,,,,,,,,,,,82,21
7474,28/03/2021,,,,,,,,,,,,,70,15
8077,28/10/2020,,,,,,,,,,,,,87,53
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Werkt_thuis,Percentage,"72,7",71,"74,4",0,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Was_vaak_je_handen,Percentage,"32,3","30,9","33,7",-1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Vermijd_drukke_plekken,Percentage,"75,9","74,6","77,2",1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Thuisgewerkte_uren,Percentage,"70,2","68,3","72,2",1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Ontvang_max_bezoekers_thuis,Percentage,"90,7","89,8","91,5",-1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Houd_1_5m_afstand,Percentage,67,"66,4","67,5",1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Hoest_niest_in_elleboog,Percentage,"62,5","61,5","63,6",0,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,Percentage,"85,1",84,"86,2",1,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_ov,Percentage,"98,3","96,6","99,2",0,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Bij_klachten_laat_testen,Percentage,50,"46,5","53,5",0,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Bij_klachten_blijf_thuis,Percentage,"49,5","44,7","54,2",0,94,152
6375,05/01/2021,05/01/2021,6,Nederland,Alle,Totaal,Naleving,Avondklok,Percentage,,,,,94,152
84,11/07/2020,,,,,,,,,,,,,4,5
5448,11/01/2021,,,,,,,,,,,,,61,47
169,21/07/2020,,,,,,,,,,,,,1,1
166,08/06/2020,,,,,,,,,,,,,7,3
1759,09/02/2021,,,,,,,,,,,,,56,83
